acctnum,gender,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,doit,reference,art,geog,buyer
10001,M,NY,10605,106,49,29,109,248,357,10,3,2,2,0,1,0,2,0
10002,M,NY,10960,109,39,27,35,103,138,3,0,1,0,1,0,0,1,0
10003,F,PA,19146,191,19,15,25,147,172,2,0,0,2,0,0,0,0,0
10004,F,NJ,7016,70,7,7,15,257,272,1,0,0,0,0,1,0,0,0
10005,F,NY,10804,108,15,15,15,134,149,1,0,0,1,0,0,0,0,0
10006,F,NY,11366,113,7,7,15,98,113,1,0,1,0,0,0,0,0,1
10007,M,CT,6460,64,25,25,15,0,15,1,0,0,0,1,0,0,0,0
10008,M,NJ,8402,84,41,1,124,114,238,11,2,1,2,3,0,0,3,0
10009,F,NJ,7452,74,65,5,130,288,418,11,0,2,3,2,0,3,1,1
10010,F,NJ,8027,80,11,11,15,108,123,1,0,1,0,0,0,0,0,0
10011,F,NJ,8873,88,7,5,25,269,294,2,0,1,1,0,0,0,0,0
10012,F,NJ,8620,86,15,13,27,146,173,2,0,1,0,0,1,0,0,0
10013,F,MA,1040,10,13,13,15,211,226,1,0,0,0,1,0,0,0,0
10014,M,NJ,8721,87,17,5,37,251,288,3,0,0,2,0,1,0,0,0
10015,F,NY,12590,125,25,25,15,0,15,1,0,0,1,0,0,0,0,0
10016,F,NJ,7083,70,5,1,23,111,134,2,2,0,0,0,0,0,0,0
10017,F,PA,18929,189,19,7,39,137,176,3,0,0,2,0,0,0,1,0
10018,M,CT,6902,69,33,7,147,300,447,12,4,0,6,0,0,2,0,0
10019,F,NJ,8759,87,17,11,26,181,207,2,0,0,1,1,0,0,0,0
10020,F,NH,3458,34,13,11,25,276,301,2,0,1,1,0,0,0,0,0
10021,M,NY,10023,100,15,9,25,177,202,2,0,1,1,0,0,0,0,0
10022,F,NJ,7921,79,15,15,15,72,87,1,0,0,0,0,1,0,0,0
10023,M,NJ,7666,76,55,23,101,287,388,9,2,0,3,1,1,1,1,0
10024,F,NY,11024,110,5,1,29,85,114,2,0,0,0,0,0,1,1,0
10025,F,PA,19020,190,21,13,25,272,297,2,0,1,1,0,0,0,0,0
10026,F,NY,11429,114,15,15,15,14,29,1,1,0,0,0,0,0,0,0
10027,M,MD,21037,210,25,11,82,243,325,7,1,0,2,2,0,1,1,0
10028,F,MD,21133,211,67,13,137,74,211,12,2,0,6,1,1,0,2,0
10029,M,NY,11373,113,9,7,28,100,128,2,0,1,0,0,0,1,0,0
10030,F,PA,19382,193,13,13,15,225,240,1,1,0,0,0,0,0,0,0
10031,M,DE,19971,199,61,27,137,66,203,12,3,0,3,4,0,0,2,0
10032,F,NY,11374,113,59,7,109,186,295,9,2,0,1,0,1,1,4,0
10033,F,NY,11558,115,15,15,15,239,254,1,1,0,0,0,0,0,0,0
10034,F,NY,10573,105,27,3,95,255,350,9,3,0,4,0,0,2,0,0
10035,F,PA,15235,152,19,13,29,103,132,2,0,0,0,0,0,1,1,0
10036,F,PA,16506,165,9,9,15,56,71,1,0,0,0,1,0,0,0,0
10037,F,VI,841,8,7,7,15,40,55,1,0,0,0,0,0,0,1,0
10038,M,MD,21087,210,13,13,15,131,146,1,0,0,0,1,0,0,0,0
10039,F,NY,14020,140,21,21,15,175,190,1,0,0,1,0,0,0,0,0
10040,F,NJ,7208,72,9,9,15,108,123,1,1,0,0,0,0,0,0,0
10041,M,NJ,7740,77,31,17,70,266,336,6,2,0,1,1,0,2,0,1
10042,F,NJ,7105,71,13,11,25,221,246,2,1,0,1,0,0,0,0,0
10043,F,MA,2791,27,45,1,128,132,260,11,1,2,3,1,0,1,3,0
